Region of Incident,IncidentYear,Month,Total Number of Dead and Missing,CauseDeath,Country of Incident,MigrationRoute,Longitude,Latitude,Main ID,Incident ID,Incident Type,Number of Females,Number of Males,Number of Children,Country of Origin,LocationIncident
Northern Africa,2024,January,1,Drowning,Libya,Central Mediterranean,32.55058,20.557715,2024.MMP0009,2024.MMP0009,Incident,,,,Unknown,"Off the coast of the Sidi Ali area of Tocra, Libya"
Northern Africa,2014,April,3,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,23.3112,22,2014.MMP00062,"2014.MMP0006265,2014.MMP0006266",Split Incident,,,,"Eritrea,Ethiopia,Sudan,Unknown",Sudanese-Libyan desert
Northern Africa,2014,April,6,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,23.3112,22,2014.MMP00062,2014.MMP0006268,Split Incident,,,,"Eritrea,Ethiopia,Sudan,Unknown",Sudanese-Libyan desert
Northern Africa,2014,April,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,23.3112,22,2014.MMP00062,2014.MMP0006267,Split Incident,,,,"Eritrea,Ethiopia,Sudan,Unknown",Sudanese-Libyan desert
Northern Africa,2014,May,46,Mixed or unknown,Algeria,Sahara Desert crossing,23.5301672,2,2014.MMP00084,2014.MMP00084,Incident,,,,Niger,Desert in southern Algeria
Northern Africa,2014,July,1,Violence,Libya,Sahara Desert crossing,26.163979,11.855727,2014.MMP00166,2014.MMP00166,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2014,August,1,Violence,Libya,Sahara Desert crossing,27.922369,15,2014.MMP00191,2014.MMP00191,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2014,August,1,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,22.659193,11,2014.MMP00192,2014.MMP00192,Incident,,,,Unknown,"Sahara Desert, between Agadez, Niger and Tripoli, Libya"
Northern Africa,2014,August,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,19.5197871,27,2014.MMP00193,2014.MMP00193,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Bani Walid, Libya"
Northern Africa,2014,November,1,Violence,Libya,Sahara Desert crossing,25.131133,11.858396,2014.MMP00257,2014.MMP00257,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,January,12,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,32.581556,13.178704,2015.MMP00024,2015.MMP00024,Incident,,,,Nigeria,"between Tarhuna and Tripoli, Libya"
Northern Africa,2015,January,1,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,20.7795755,24.152626,2015.MMP00026,2015.MMP00026,Incident,,1,,Syrian Arab Republic,Unspecified location on the Libyan/Sudanese border
Northern Africa,2015,January,1,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00034,2015.MMP00034,Incident,,,,Ghana,"Unspecified location, Libya"
Northern Africa,2015,January,26,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00035,2015.MMP00035,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,March,4,Mixed or unknown,Libya,Sahara Desert crossing,28.9493768,17.285764,2015.MMP00078,2015.MMP00078,Incident,,,,Unknown,"In the Sahara Desert, Libya"
Northern Africa,2015,March,2,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00081,2015.MMP00081,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,March,2,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00082,2015.MMP00082,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,April,2,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00122,2015.MMP00122,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,April,1,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00123,2015.MMP00123,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,April,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00124,2015.MMP00124,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,May,1,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,15.7398965,25.702966,2015.MMP00134,2015.MMP00134,Incident,,,,Unknown,Sudan
Northern Africa,2015,May,2,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00164,2015.MMP00164,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,June,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Algeria,Sahara Desert crossing,19.3877305,5.714762,2015.MMP00173,2015.MMP00173164,Split Incident,,,,"Central African Republic,Côte d'Ivoire,Guinea,Liberia,Mali,Nigeria,Senegal","Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger."
Northern Africa,2015,June,15,"Harsh environmental conditions / lack of adequate shelter, food, water",Algeria,Sahara Desert crossing,19.3877305,5.714762,2015.MMP00173,"2015.MMP00173159,2015.MMP00173160,2015.MMP00173161,2015.MMP00173162,2015.MMP00173163,2015.MMP00173165",Split Incident,1,15,,"Central African Republic,Côte d'Ivoire,Guinea,Liberia,Mali,Nigeria,Senegal","Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger."
Northern Africa,2015,July,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,16.121094,32.310913,2015.MMP00219,2015.MMP00219,Incident,,,,Unknown,Sudanese border with Libya
Northern Africa,2015,July,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,19.316672,33.031923,2015.MMP00244,2015.MMP00244,Incident,,,,Unknown,"Sahara Desert, north of Khartoum, Sudan"
Northern Africa,2015,July,7,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,22.74454,22.352479,2015.MMP00245,2015.MMP00245,Incident,,,,Unknown,"Sahara Desert, beween Sudan and Libya"
Northern Africa,2015,July,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,31.3636669,10.233956,2015.MMP00261,2015.MMP00261,Incident,,,,Unknown,"Between Ajdabiya and Tripoli, Libya"
Northern Africa,2015,July,3,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,20.424268,26.166021,2015.MMP00262,2015.MMP00262,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya"
Northern Africa,2015,July,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00263,2015.MMP00263,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,July,1,Mixed or unknown,Libya,Sahara Desert crossing,26.239989,12.913096,2015.MMP00264,2015.MMP00264,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,July,2,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00266,2015.MMP00266,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,July,3,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00267,2015.MMP00267,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,July,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,19.078732,26.165733,2015.MMP00268,2015.MMP00268,Incident,,,,Unknown,"Sahara Desert, between Hagas, Sudan and Shaidi, Libya"
Northern Africa,2015,July,1,Violence,Libya,Sahara Desert crossing,26.239989,12.913094,2015.MMP00270,2015.MMP00270,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,July,2,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00271,2015.MMP00271,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,August,3,Mixed or unknown,Sudan,Sahara Desert crossing,21.68573,30.751709,2015.MMP00313,2015.MMP00313,Incident,,,,Unknown,In northern Sudan
Northern Africa,2015,August,5,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,25.685913,32.639282,2015.MMP00314,2015.MMP00314,Incident,,,,Unknown,"Luxor, Egypt"
Northern Africa,2015,August,5,Mixed or unknown,Egypt,Sahara Desert crossing,19.078732,26.165733,2015.MMP00316,2015.MMP00316,Incident,,,,Unknown,"Sudan border near Aswan, Egypt"
Northern Africa,2015,August,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Egypt,Sahara Desert crossing,23.966675,32.782898,2015.MMP00317,2015.MMP00317,Incident,,,,Unknown,"Near Aswan, Egypt"
Northern Africa,2015,August,1,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00353,2015.MMP00353,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,August,1,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00354,2015.MMP00354,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,August,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00355,2015.MMP00355,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,August,1,Mixed or unknown,Sudan,Sahara Desert crossing,22.30997944,23.51197,2015.MMP00356,2015.MMP00356,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Bani Walid, Libya"
Northern Africa,2015,September,4,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,22.662903,23.649292,2015.MMP00359,2015.MMP00359,Incident,,,,Unknown,"Sahara Desert, Libya"
Northern Africa,2015,September,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00395,2015.MMP00395,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,September,3,Mixed or unknown,Libya,Sahara Desert crossing,32.849232,13.1648,2015.MMP00396,2015.MMP00396,Incident,,,,Unknown,"Sahara Desert, Libya"
Northern Africa,2015,September,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00402,2015.MMP00402,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,September,1,Mixed or unknown,Egypt,Sahara Desert crossing,24.214478,32.981079,2015.MMP00403,2015.MMP00403,Incident,,,,Unknown,"Aswan, Egypt"
Northern Africa,2015,September,1,Violence,Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00406,2015.MMP00406,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,September,3,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00407,2015.MMP00407,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,September,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,13.798889,34.848694,2015.MMP00408,2015.MMP00408,Incident,,,,Unknown,"In the desert after Ash Shamaliyah, Sudan"
Northern Africa,2015,September,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,20.112671,30.499695,2015.MMP00409,2015.MMP00409,Incident,,,,Unknown,"Ash Shamaliyah, Sudan"
Northern Africa,2015,September,5,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,22.22052,36.641296,2015.MMP00410,2015.MMP00410,Incident,,,,Unknown,"Halaib washalatin, Between Egypt and Sudan"
Northern Africa,2015,September,1,Mixed or unknown,Sudan,Sahara Desert crossing,21.749695,32.51947,2015.MMP00412,2015.MMP00412,Incident,,,,Unknown,In Egypt-Sudan border
Northern Africa,2015,September,1,Mixed or unknown,Sudan,Sahara Desert crossing,21.7991,31.3713,2015.MMP00415,2015.MMP00415,Incident,,,,Unknown,"Wadi Halfa, Sudan"
Northern Africa,2015,September,2,Mixed or unknown,Sudan,Sahara Desert crossing,21.056519,30.261902,2015.MMP00417,2015.MMP00417,Incident,,,,Unknown,"Ash Shamaliyah, Sudan"
Northern Africa,2015,September,3,Mixed or unknown,Libya,Sahara Desert crossing,25.731079,21.401489,2015.MMP00419,2015.MMP00419,Incident,,,,Unknown,"Between Kufrah and Tripoli, Libya"
Northern Africa,2015,September,1,Mixed or unknown,Egypt,Sahara Desert crossing,24.138269,33.026759,2015.MMP00420,2015.MMP00420,Incident,,,,Unknown,"Desert near Aswan, Egypt"
Northern Africa,2015,September,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Egypt,Sahara Desert crossing,23.125488,32.475708,2015.MMP00427,2015.MMP00427,Incident,,,,Unknown,"Near to Aswan in Sahara Desert, Egypt"
Northern Africa,2015,September,2,Mixed or unknown,Libya,Sahara Desert crossing,23.84458,18.3692,2015.MMP00454,2015.MMP00454,Incident,,,,Unknown,"Sahara Desert, Libya"
Northern Africa,2015,September,2,Sickness / lack of access to adequate healthcare,Sudan,Sahara Desert crossing,20.05749,25.66243,2015.MMP00455,2015.MMP00455,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Tripoli, Libya"
Northern Africa,2015,September,1,Violence,Sudan,Sahara Desert crossing,20.87571,25.48954,2015.MMP00456,2015.MMP00456,Incident,1,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya"
Northern Africa,2015,September,2,Violence,Libya,Sahara Desert crossing,26.239989,12.913084,2015.MMP00457,2015.MMP00457,Incident,,,,Unknown,"Unspecified location, Libya"
Northern Africa,2015,September,1,Violence,Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00458,2015.MMP00458,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,October,3,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,20.87561,25.48944,2015.MMP00471,2015.MMP00471,Incident,,,,Unknown,"Sudan desert after passing through Khartoum,Sudan"
Northern Africa,2015,October,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.2032014,16.055221,2015.MMP00472,2015.MMP00472,Incident,,,,Unknown,"Yurobiyana, Libya"
Northern Africa,2015,October,14,Mixed or unknown,Libya,Sahara Desert crossing,23.2488413,19.724216,2015.MMP00473,2015.MMP00473,Incident,,,,Unknown,"Sahara, Simrata, Kufra, Libya"
Northern Africa,2015,October,3,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,28.0566652,14.099127,2015.MMP00474,2015.MMP00474,Incident,,,,Unknown,"Shagarab, Libya"
Northern Africa,2015,October,8,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.251892,22.500122,2015.MMP00480,2015.MMP00480,Incident,,,,Unknown,"Libya desert (Kufrah suburb), Libya"
Northern Africa,2015,October,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,19.363525,27.509888,2015.MMP00483,2015.MMP00483,Incident,,,,Unknown,"Sahara Desert, Sudan "
Northern Africa,2015,October,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.550903,14.268677,2015.MMP00486,2015.MMP00486,Incident,,,,Unknown,"Barak alshadi' (Brak, Wadi al Shatii), Libya"
Northern Africa,2015,October,5,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.03956,14.23824,2015.MMP00490,2015.MMP00490,Incident,,,,Unknown,"Sabha Desert, Libya"
Northern Africa,2015,October,28,Mixed or unknown,Libya,Sahara Desert crossing,22.766479,22.587891,2015.MMP00491,2015.MMP00491,Incident,,,,Unknown,"Kufrah Desert, Libya"
Northern Africa,2015,October,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00493,2015.MMP00493,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,October,1,Mixed or unknown,Egypt,Sahara Desert crossing,24.0923336,32.882662,2015.MMP00508,2015.MMP00508,Incident,,,,Unknown,"Near to Aswan , Egypt"
Northern Africa,2015,October,1,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,24.088928,32.904114,2015.MMP00511,2015.MMP00511,Incident,,,,Unknown,"Aswan, Egypt"
Northern Africa,2015,October,2,Mixed or unknown,Sudan,Sahara Desert crossing,20.515686,28.262878,2015.MMP00515,2015.MMP00515,Incident,,,,Unknown,"In a desert far from Ash Shamaliyah, Sudan"
Northern Africa,2015,October,2,Mixed or unknown,Sudan,Sahara Desert crossing,17.529297,32.9151,2015.MMP00521,2015.MMP00521,Incident,,,,Unknown,"In the desert under small mountain , Sudan"
Northern Africa,2015,October,1,Violence,Sudan,Sahara Desert crossing,21.708923,30.146484,2015.MMP00522,2015.MMP00522,Incident,,,,Unknown,Egypt-Sudan Border
Northern Africa,2015,October,5,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,17.665283,34.0495,2015.MMP00524,2015.MMP00524,Incident,,,,Unknown,"Atbara, Sudan"
Northern Africa,2015,October,1,Violence,Egypt,Sahara Desert crossing,23.508911,33.266724,2015.MMP00525,2015.MMP00525,Incident,,,,Unknown,"Near Aswan in the desert, Egypt"
Northern Africa,2015,October,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00530,2015.MMP00530,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,October,2,Mixed or unknown,Egypt,Sahara Desert crossing,23.830688,32.497681,2015.MMP00531,2015.MMP00531,Incident,,,,Unknown,"Near Aswan in the desert , Egypt"
Northern Africa,2015,October,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00532,2015.MMP00532,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,October,30,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,20.6081929,23.999395,2015.MMP00533,2015.MMP00533,Incident,,,,Unknown,"Desert between libya and Sudan, Libya"
Northern Africa,2015,October,20,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,26.11853,14.809692,2015.MMP00534,2015.MMP00534,Incident,,,,Unknown,"Umm Al Aranib, Libya"
Northern Africa,2015,October,3,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00535,2015.MMP00535,Incident,,,,Unknown,"Kufra suburb, Libya"
Northern Africa,2015,October,3,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00538,2015.MMP00538,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,October,3,Mixed or unknown,Sudan,Sahara Desert crossing,17.7806232,32.092196,2015.MMP00541,2015.MMP00541,Incident,,,,Unknown,"One day north of Khartoum, Sudan, towards Egypt"
Northern Africa,2015,October,2,Violence,Sudan,Sahara Desert crossing,21.069275,28.784302,2015.MMP00542,2015.MMP00542,Incident,,,,Unknown,"At the desert , Sudan"
Northern Africa,2015,October,2,Mixed or unknown,Egypt,Sahara Desert crossing,22.51532,30.739685,2015.MMP00554,2015.MMP00554,Incident,,,,Unknown,"Aswan desert, Egypt"
Northern Africa,2015,October,2,Mixed or unknown,Sudan,Sahara Desert crossing,17.701904,34.03772,2015.MMP00570,2015.MMP00570,Incident,,,,Unknown,"Atbara, Sudan"
Northern Africa,2015,October,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,20.51107,25.83825,2015.MMP00588,2015.MMP00588,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya"
Northern Africa,2015,October,2,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,23.4194624,20.471611,2015.MMP00589,2015.MMP00589,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Bengasi, Libya"
Northern Africa,2015,October,1,Violence,Algeria,Sahara Desert crossing,28.03375,5.93435,2015.MMP00591,2015.MMP00591,Incident,,,,Unknown,"Sahara Desert, between Adrar, Algeria and Tripoli, Libya"
Northern Africa,2015,October,5,Vehicle accident / death linked to hazardous transport,Sudan,Sahara Desert crossing,23.4194624,20.471611,2015.MMP00593,2015.MMP00593,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Subratah, Libya"
Northern Africa,2015,November,1,Mixed or unknown,Egypt,Sahara Desert crossing,23.968872,32.124084,2015.MMP00617,2015.MMP00617,Incident,,,,Unknown,"In the cave under mountain near Aswan, Egypt"
Northern Africa,2015,November,1,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,24.088938,32.899829,2015.MMP00618,2015.MMP00618,Incident,,,,Unknown,"In the desert under small mountain near Aswan, Egypt"
Northern Africa,2015,November,5,Mixed or unknown,Sudan,Sahara Desert crossing,20.046396,25.589796,2015.MMP00619,2015.MMP00619,Incident,,,,Unknown,"Sahara Desert , Sudan"
Northern Africa,2015,November,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.7756264,16.066305,2015.MMP00627,2015.MMP00627,Incident,,,,Unknown,"Sahara Desert, Libya"
Northern Africa,2015,November,1,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,25.44291,31.34079,2015.MMP00631,2015.MMP00631,Incident,,,,Unknown,"Sahara Desert, Egypt"
Northern Africa,2015,November,5,Mixed or unknown,Sudan,Sahara Desert crossing,18.4448963,30.15893,2015.MMP00632,2015.MMP00632,Incident,,,,Unknown,"Ash Shamaliyah, Sudan"
Northern Africa,2015,November,1,Mixed or unknown,Egypt,Sahara Desert crossing,24.44989,32.475708,2015.MMP00633,2015.MMP00633,Incident,,,,Unknown,"Mountain cave, near Aswan, Egypt"
Northern Africa,2015,November,1,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,24.049072,32.684326,2015.MMP00642,2015.MMP00642,Incident,,,,Unknown,"Desert around Aswan, Egypt"
Northern Africa,2015,November,3,Mixed or unknown,Sudan,Sahara Desert crossing,21.157104,30.391724,2015.MMP00643,2015.MMP00643,Incident,,,,Unknown,"Ash Shamaliyah, Sudan"
Northern Africa,2015,November,1,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,29.964905,32.871094,2015.MMP00644,2015.MMP00644,Incident,,,,Unknown,"Aswan, Egypt"
Northern Africa,2015,November,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Egypt,Sahara Desert crossing,24.088318,32.9021,2015.MMP00645,2015.MMP00645,Incident,,,,Unknown,"In the desert before Aswan, Egypt"
Northern Africa,2015,November,1,Mixed or unknown,Egypt,Sahara Desert crossing,23.314697,32.409729,2015.MMP00647,2015.MMP00647,Incident,,,,Unknown,"Cairo, Egypt"
Northern Africa,2015,November,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00649,2015.MMP00649,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,November,3,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00650,2015.MMP00650,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,November,2,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,26.11853,14.809692,2015.MMP00651,2015.MMP00651,Incident,,,,Unknown,"Umm Al Aranib, Libya"
Northern Africa,2015,November,3,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00652,2015.MMP00652,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,November,3,Vehicle accident / death linked to hazardous transport,Egypt,Sahara Desert crossing,24.089294,32.901123,2015.MMP00654,2015.MMP00654,Incident,,,,Unknown,"Aswan, Egypt"
Northern Africa,2015,November,12,Violence,Sudan,Sahara Desert crossing,19.72559,25.66303,2015.MMP00673,2015.MMP00673,Incident,,,,Unknown,"Sahara Desert, between Khartoum, Sudan and Tripoli, Libya"
Northern Africa,2015,December,3,Violence,Sudan,Sahara Desert crossing,14.04094,35.39883,2015.MMP00696,2015.MMP00696,Incident,,,,Unknown,"Al Qadarif, Sudan"
Northern Africa,2015,December,3,Mixed or unknown,Sudan,Sahara Desert crossing,29.52327,33.80567,2015.MMP00697,2015.MMP00697,Incident,,,,Unknown,"Ash Shamaliyah, Sudan"
Northern Africa,2015,December,5,"Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,Sahara Desert crossing,21.894714,30.564087,2015.MMP00698,2015.MMP00698,Incident,,,,Unknown,"Desert in Sudan, near border with Egypt"
Northern Africa,2015,December,9,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00712,2015.MMP00712,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,2,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00713,2015.MMP00713,Incident,,,,,"Sabha, Libya"
Northern Africa,2015,December,2,Sickness / lack of access to adequate healthcare,Sudan,Sahara Desert crossing,15.455688,32.530518,2015.MMP00714,2015.MMP00714,Incident,,,,Unknown,"Khartoum, Sudan"
Northern Africa,2015,December,3,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00715,2015.MMP00715,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,1,Mixed or unknown,Egypt,Sahara Desert crossing,24.138269,33.026759,2015.MMP00716,2015.MMP00716,Incident,,,,Unknown,"Aswan, Egypt"
Northern Africa,2015,December,3,Sickness / lack of access to adequate healthcare,Sudan,Sahara Desert crossing,15.455688,32.530518,2015.MMP00717,2015.MMP00717,Incident,,,,Unknown,"Khartoum, Sudan"
Northern Africa,2015,December,10,Vehicle accident / death linked to hazardous transport,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00718,2015.MMP00718,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,3,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,26.11853,14.809692,2015.MMP00719,2015.MMP00719,Incident,,,,Unknown,"Umm Al Aranib, Libya"
Northern Africa,2015,December,8,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,32.76095,21.75772,2015.MMP00720,2015.MMP00720,Incident,,,,Unknown,"Albarega (Al Burayqah), Libya"
Northern Africa,2015,December,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00722,2015.MMP00722,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,34,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00724,2015.MMP00724,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,5,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,27.032288,14.456116,2015.MMP00725,2015.MMP00725,Incident,,,,Unknown,"Sabha, Libya"
Northern Africa,2015,December,2,Mixed or unknown,Sudan,Sahara Desert crossing,19.55486,26.71993,2015.MMP00726,2015.MMP00726,Incident,,,,Unknown,"Sahara Desert , Sudan"
Northern Africa,2015,December,8,Mixed or unknown,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00731,2015.MMP00731,Incident,,,,Unknown,"Kufra, Libya"
Northern Africa,2015,December,4,Sickness / lack of access to adequate healthcare,Libya,Sahara Desert crossing,23.321289,21.866882,2015.MMP00733,2015.MMP00733,Incident,,,,Unknown,"Kufra, Libya"
